,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
11462,0.0472,Queen,0.563,209413,0.865,0,7hQJA50XrCWABAu5v6QZ4i,0.000191,5,0.77,-5.277,1,Don't Stop Me Now - Remastered 2011,73,1978-11-10,0.16,156.27100000000004,0.601,1978
11466,0.39,The Rolling Stones,0.7829999999999999,265173,0.878,0,77oU2rjC5XbjQfNe3bD6so,0.000778,1,0.0426,-3.864,0,Beast Of Burden - Remastered,73,1978-06-09,0.0308,100.626,0.885,1978
11481,0.0319,Queen,0.337,255600,0.684,0,4igIYHF3B5VBxEafHauVo3,6.57e-06,2,0.342,-7.673999999999999,1,Fat Bottomed Girls - Remastered 2011,64,1978-11-10,0.0495,88.772,0.404,1978
11497,0.443,The Rolling Stones,0.795,288667,0.71,0,3hJLKtTpgct9Y9wKww0BiR,0.0215,9,0.344,-4.746,0,Miss You - Remastered,68,1978-06-09,0.0392,109.689,0.845,1978
11545,0.0443,Queen,0.253,255533,0.635,0,39sH8Fl415P7O8GRP1Td6Z,1.4300000000000005e-05,2,0.324,-10.135,1,Fat Bottomed Girls,53,1978-11-10,0.053,176.109,0.41,1978
11549,0.0637,Queen,0.429,180813,0.669,0,3lUx27TOwV2nAiKwnYYXxe,0.0,0,0.0955,-6.4460000000000015,0,Bicycle Race - Remastered 2011,53,1978-11-10,0.0783,82.725,0.611,1978
11607,0.415,The Rolling Stones,0.738,226800,0.952,0,0FfZBWDv7p63yj6oh2I2PS,2.2e-05,4,0.116,-2.752,1,Shattered - Remastered,52,1978-06-09,0.147,140.395,0.748,1978
11608,0.0594,Queen,0.425,203280,0.6859999999999999,0,35cljnTV9schHORuqWF8mA,0.0,7,0.358,-7.709,1,Fat Bottomed Girls - Single Version,49,1978-11-10,0.0571,88.257,0.515,1978
11658,0.0624,Queen,0.385,182000,0.555,0,5rQKjP9forn7JVuiZBj6eZ,0.0,10,0.0298,-10.694,0,Bicycle Race,45,1978-11-10,0.105,168.16400000000004,0.69,1978
11864,0.112,Queen,0.933,214653,0.528,0,57JVGBtBLCfHw2muk5416J,0.329,5,0.163,-6.472,0,Another One Bites The Dust - Remastered 2011,72,1980-06-27,0.162,109.975,0.7559999999999999,1980
