"","acousticness","danceability","release_date"
"158",4.3e-05,0.39,"1969-01-17"
"159",0.345,0.4,"1969-01-17"
"160",0.000341,0.175,"1969-01-17"
"161",0.0958,0.416,"1969-09-26"
"162",0.955,0.408,"1969-09-26"
"163",0.307,0.596,"1969-09-26"
"164",0.79,0.0959,"1969-09-26"
"165",0.728,0.703,"1969-09-26"
"166",0.754,0.686,"1968-11-22"
"167",0.232,0.818,"1968-11-22"
"168",0.0205,0.453,"1968-11-22"
"169",0.069,0.48,"1968-11-22"
"170",0.742,0.631,"1968-11-22"
"171",0.000606,0.166,"1968-11-22"
"172",0.16,0.388,"1968-11-22"
"173",0.333,0.599,"1968-11-22"
"174",0.523,0.431,"1968-11-22"
"175",0.656,0.433,"1968-11-22"
"176",0.828,0.512,"1968-11-22"
"177",0.872,0.472,"1968-11-22"
"178",7.37e-05,0.541,"1968-11-22"
"179",0.0123,0.523,"1968-11-22"
"180",0.634,0.608,"1968-11-22"
"181",0.0785,0.386,"1968-11-22"
"182",0.33,0.577,"1968-11-22"
"183",0.224,0.621,"1968-11-22"
"184",0.000875,0.327,"1968-11-22"
"185",0.53,0.589,"1968-11-22"
"186",0.594,0.599,"1968-11-22"
"187",0.88,0.537,"1968-11-22"
"188",0.643,0.542,"1968-11-22"
"189",0.0207,0.523,"1968-11-22"
"190",0.115,0.517,"1968-11-22"
"191",0.539,0.349,"1968-11-22"
"192",0.865,0.146,"1968-11-22"
"193",0.425,0.792,"1968-11-22"
"194",0.00814,0.623,"1968-11-22"
"195",0.769,0.208,"1968-11-22"
"196",0.336,0.39,"1967-11-27"
"197",0.0469,0.311,"1967-06-01"
"198",0.365,0.705,"1967-06-01"
"199",0.29,0.364,"1967-06-01"
"200",0.212,0.651,"1967-11-27"
"201",0.346,0.4,"1967-11-27"
"202",0.0828,0.401,"1967-11-27"
"203",0.306,0.479,"1967-11-27"
"204",0.0857,0.451,"1967-06-01"
"205",0.625,0.704,"1967-06-01"
"206",0.944,0.381,"1967-06-01"
"207",0.313,0.632,"1967-06-01"
"208",0.382,0.469,"1967-06-01"
"209",0.339,0.352,"1967-06-01"
"210",0.0119,0.619,"1967-11-27"
"211",0.913,0.356,"1967-11-27"
"212",0.0634,0.61,"1967-06-01"
"213",0.784,0.698,"1967-11-27"
"214",0.0385,0.297,"1967-11-27"
"215",0.338,0.526,"1967-06-01"
"216",0.0258,0.294,"1967-11-27"
"217",0.368,0.551,"1967-11-27"
"218",0.0061,0.653,"1967-06-01"
"219",0.0858,0.542,"1967-06-01"
"220",0.411,0.633,"1967-05-26"
"221",0.101,0.331,"1967-05-26"
"222",0.0308,0.36,"1967-05-26"
"223",0.268,0.377,"1967-05-26"
